APE,MultiYear,Cluster,SITE,Order,SiteID,Site,Type,FST.GESTE,Size,V,C,Stab,D,APA,NLT,Fst.temp
No,Yes,NA,PICO,1,PICO2009,Pico,m,0.055,1.61,1.89,0.5,0.14,35,6,3.29,0.006
No,Yes,NA,ROC,2,ROC2006,GrosseRoche,m,0.095,1.41,0.99,0.25,-0.09,37,4,2.06,-0.005
No,Yes,NA,SEN,3,SEN2007,Senneville,m,0.048,1.21,0.98,0,-0.47,40,3,2.24,0.001
No,Yes,NA,VEE,4,VEE2008,ValetEst,m,0.055,1.36,1.9,1,-0.2,36,5,2.83,-0.001
No,Yes,NA,GEF,5,GEF2009,Geffrier,mg,0.043,1.19,1.34,2,-1.78,9,9,2.87,0.005
No,Yes,NA,REJ,6,REJ2008,RejouiNord,m,0.012,1.55,1.48,2.13,0.93,34,5,2.6,0.001
Yes,Yes,NA,ECL,7,ECL2009,LEcluse,m,0.057,1.93,1.16,0.13,-0.93,56,1,3.02,0.001
No,Yes,NA,COU,8,COU2009,CouronneConchou,m,0.07,1.29,1.4,0.13,-2.39,29,6,2.36,0.049
Yes,Yes,NA,FDR,9,FDR09,FondRose,m,0.071,0.84,1.02,0.13,-3.93,36,1,2.12,0.042
Yes,Yes,NA,MAH,10,MAH09,Mahaudiere,m,0.045,1.64,1.73,0.13,-1.41,32,3,3,0.042
Yes,Yes,NA,PIS,11,PIS09,Pistolet,m,0.079,1.42,1.23,0.29,-3.31,27,1,2.42,-0.001
Yes,Yes,North,PEV,12,PEV2009,PorteEnferVigie,m,0.088,1,1.34,0,-5.56,14,1,2.18,0.012
NA,No,NA,BLON,13,BLON2009,BlonvalNord,m,0.072,1.17,0.62,0,-2.27,103,6,1.95,NA
NA,No,South,POU,14,POU2009,Poucet,r,0.035,0.87,0.86,2.63,0.16,7,2,1.51,NA
NA,No,North,DESB,15,DESB2009,Desbonnes,m,0.243,1.06,0.45,0,-1.81,35,3,1.79,NA
NA,No,East,BAM,16,BAM2009,Bamboche,m,0.087,1.33,0.76,1,1.09,172,2,2.36,NA
NA,No,Center,BAZ,17,BAZ2009,Bazin,m,0.037,1.58,1.62,0,0.78,75,9,3.49,NA
NA,No,East,HEN,18,HEN2009,LHenriette,m,0.14,1.13,1.5,0,1.29,189,1,1.68,NA
NA,No,East,MAM,19,MAM2009,Mamme,m,0.041,2.39,1.82,0,1.02,164,2,3.12,NA
NA,No,South,TIT,20,TIT2009,Titon,mg,0.038,1.84,1.67,2.13,-1.09,13,9,3.34,NA
NA,No,Center,DEL,21,DEL2010,Delisle,m,0.072,1.52,1.72,0,0.95,72,7,3.3,NA
NA,No,Center,PAV,22,PAV2009,Pavillon,m,0.015,1.88,1.32,0.43,0.43,88,6,3.93,NA
NA,No,North,STJ,23,STJ2010,SaintJacques,m,0.032,1.17,0.97,0.88,-0.21,38,1,1.9,NA
NA,No,South,KAN,24,KAN2010,Kancel,m,0.035,0.93,1.96,2.13,-0.3,26,2,1.68,NA
NA,No,NA,PTC,25,PTC2009,PointedesChateaux,m,0.21,1.38,1.26,0,-1.2,0,NA,1.71,NA